,country,Unnamed: 0,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,vaccines,people_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,total_vaccinations,percentage_vaccinated,tested_positive,percentage_fully_vaccinated
125,Malta,125,Europe,93508,713.0,90076.0,2719.0,4.0,210730,1607.0,1904970.0,4293055.0,443733,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",473639.0,91.77,466296.0,90.35,243.33,1255851.0,100.0,4.91,100.0
80,Gibraltar,80,Europe,18129,102.0,16579.0,1448.0,,538400,3029.0,534283.0,15867278.0,33672,"Oxford/AstraZeneca, Pfizer/BioNTech",42034.0,124.76,41228.0,122.37,345.37,116358.0,100.0,3.39,100.0
214,United Arab Emirates,214,Asia,902484,2302.0,886128.0,14054.0,,89240,228.0,159103283.0,15732628.0,10112950,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",9890318.0,98.99,9603499.0,96.12,244.86,24463702.0,100.0,0.57,94.96
161,Portugal,161,Europe,4066674,22583.0,,,61.0,400999,2227.0,41903714.0,4131968.0,10141346,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",9663542.0,95.04,9415073.0,92.6,225.45,22923599.0,100.0,9.7,92.84
162,Qatar,162,Asia,366179,677.0,364474.0,1028.0,1.0,130415,241.0,3487616.0,1242115.0,2807805,"Moderna, Pfizer/BioNTech",2593517.0,88.5,2593517.0,88.5,225.46,6607185.0,100.0,10.5,92.37
28,Brunei,28,Asia,144659,220.0,142788.0,1651.0,,324871,494.0,717784.0,1611980.0,445281,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",407945.0,92.39,404935.0,91.71,241.99,1068468.0,100.0,20.15,90.94
41,Chile,41,South America,3605522,57722.0,3468131.0,79669.0,159.0,185643,2972.0,37693651.0,1940790.0,19421812,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",17859475.0,92.96,17346012.0,90.29,261.82,50302179.0,100.0,9.57,89.31
52,Cuba,52,North America,1104589,8529.0,1095534.0,526.0,23.0,97633,754.0,12920253.0,1141997.0,11313741,"Abdala, Soberana Plus, Soberana02",10630665.0,93.93,9910237.0,87.57,312.28,35342367.0,100.0,8.55,87.59
37,Cayman Islands,37,North America,23578,28.0,8553.0,14997.0,1.0,351077,417.0,222773.0,3317098.0,67159,"Oxford/AstraZeneca, Pfizer/BioNTech",60364.0,90.78,58385.0,87.8,212.21,141118.0,100.0,10.58,86.94
189,South Korea,189,Asia,17782061,23709.0,,,338.0,346282,462.0,15804065.0,307763.0,51351355,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",44948629.0,87.61,44482876.0,86.7,235.07,120604515.0,100.0,112.52,86.62
